user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status,Sentiment
BeantMrahar,,Twitter for Android,,12-04-2021 03:13,FALSE,63,"Today Hashtag 
Retweet 

#DelhiPolice_TorturingFarmers",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:13,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/i0cnvsfQut",0,FALSE,Negative
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:13,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/N0K2DSR7TR",0,FALSE,Negative
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,12-04-2021 03:13,FALSE,628,"If we lose this fight, first we will become corporate slaves and then we will eventually be cornered into giving up… https://t.co/cdryCkPjvw",0,FALSE,Positive
__Argha__,,Twitter for Android,,12-04-2021 03:13,FALSE,42,'Disgraceful' and 'Discourteous' act of Delhi police towards the ones whose hardwork and struggle ensures none slee… https://t.co/ab10Ld1MEy,0,FALSE,Negative
Katter_hinduBJP,"Mumbai, India",Twitter for Android,,12-04-2021 03:13,FALSE,5415,"'Shameful' and 'Disgusting' act by Delhi Police...!!!!!

#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/LGiWYBW0aa",0,FALSE,Negative
pritvirk,ਸਰੀ British Columbia,Twitter for Android,,12-04-2021 03:13,FALSE,2521,@har_kaur1 DelhiPolice_TorturingFarmers,0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:13,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/P2wpduiJxy",0,FALSE,Negative
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,12-04-2021 03:12,FALSE,628,"It’s not about only “Farmers”. Our police is converting into attackers gang.

Let’s stand unite against police inju… https://t.co/9SPzlqOO9N",0,FALSE,Positive
ohi_kudi,,Twitter for iPhone,,12-04-2021 03:12,FALSE,694,Don’t give your votes to this moron if you want to save the Indian democracy #DelhiPolice_TorturingFarmers https://t.co/uRulAk9jZ5,0,FALSE,Negative
Iamjazzie96,Canada 🍁,Twitter for iPhone,,12-04-2021 03:12,TRUE,1790,"@rumsomal No doubt....

#DelhiPolice_TorturingFarmers",0,FALSE,Positive
RikkSingh,"Calgary,  Canada",Twitter for iPhone,,12-04-2021 03:12,TRUE,132,"Save Farmers
#DelhiPolice_TorturingFarmers",0,FALSE,Positive
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,12-04-2021 03:12,FALSE,628,"Inform my land &amp; children we did not give up 

A farmer is a magician who produce money from mud

We ain't giving u… https://t.co/eEnMkh3fce",0,FALSE,Positive
akanaha_katter,India,Twitter for Android,,12-04-2021 03:12,FALSE,2266,"Farmers sitting on the highway carrying the KMP highway closed, trolleys, mattresses and cots.… https://t.co/YbVQCh2Ixm",0,FALSE,Negative
farmers_justice,,Twitter Web App,,12-04-2021 03:12,FALSE,1011,"#DelhiPolice_TorturingFarmers

Put an end to Police brutality. https://t.co/8WLfuCo4xc",1,FALSE,Positive
Manniepreet,,NoFoodNoFarmer,,12-04-2021 03:12,FALSE,192,"Delhi police continue to engage with BJP goons and threaten the farmers protest. 
#DelhiPolice_TorturingFarmers
 Th… https://t.co/gnOatpOxeP",0,FALSE,Positive
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,12-04-2021 03:12,FALSE,628,Don't wake up with the regret of what you couldn't accomplish yesterday. Wake up while thinking about what will be… https://t.co/fdZoDJ4TdC,0,FALSE,Positive
Mandeep98152617,,Twitter for iPhone,,12-04-2021 03:12,FALSE,6,Farmers protest  #DelhiPolice_TorturingFarmers,0,FALSE,Positive
SonnyJudge1,,NoFoodNoFarmer,,12-04-2021 03:12,FALSE,561,BJP goons throwing stones at farmers with Delhi police just standing and watching from behind. Shame Delhi police… https://t.co/SDLuZu14Df,0,FALSE,Negative
Parmind42619715,"ਮੋਹਾਲੀ,ਪੰਜਾਬ",Twitter for Android,,12-04-2021 03:12,FALSE,564,"@advGaganSidhu @Malkitsaggu99 @capt_amarinder Captain is very busy with aroosa
@capt_amarinder 
@DGPPunjabPolice… https://t.co/Igpzn6USw8",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:12,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/7GCYWpXUHH",1,FALSE,Negative
Tractor2twitr,"Ludhiana, India",Twitter for iPhone,,12-04-2021 03:12,FALSE,135,"As we all know @DelhiPolice reports to @AmitShah 
Will he take full responsibility of illegal detentions &amp; tortures… https://t.co/QT6zbUkkED",10,FALSE,Negative
SukheetJataana,Canada,NoFoodNoFarmer,,12-04-2021 03:12,FALSE,494,"Police silencing the farmers by torturing them.
#DelhiPolice_TorturingFarmers
 Chardi Kala !! https://t.co/0DuvgnBjvo",0,FALSE,Positive
kissanektadelhi,"Delhi, India",Twitter for Android,,12-04-2021 03:12,TRUE,0,"'Shameful' &amp; 'Disgusting' act by Delhi Police!

How obnoxious can Modi govt be??

Torturing &amp; thrashing the youth i… https://t.co/aCh53L0sOk",0,FALSE,Negative
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:12,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/6JMFsNdC2w",1,FALSE,Negative
Farmtweet2,,Twitter for Android,,12-04-2021 03:12,FALSE,65,"#DelhiPolice_TorturingFarmers
Beauty captures your attention, but personality captures your heart.  https://t.co/SUSNlTfCsn",0,FALSE,Positive
AmrinderS_13, ਨਨਹੇੜਾ ਪੰਜਾਬ ਭਾਰਤ।,Twitter for Android,,12-04-2021 03:12,FALSE,515,"What is this !!!!
#DelhiPolice_TorturingFarmers 
#FarmersProtest https://t.co/07DuQkifqc",0,FALSE,Positive
RamanGrew,Canada,Twitter for iPhone,,12-04-2021 03:11,FALSE,72,"@sukhdha75655514 #DelhiPolice_TorturingFarmers 

The wrath of the Delhi Police",0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:11,FALSE,1763,@AmritSi62426861 Totally agree #DelhiPolice_TorturingFarmers #FarmersProtest,0,FALSE,Positive
Sherry_HR_85,"Ambala, India",Twitter for Android,"Place(_api=<tweepy.api.API object at 0x0000017B1B495A90>, id='1d3a1d48179186a0', url='https://api.twitter.com/1.1/geo/id/1d3a1d48179186a0.json', place_type='city', name='Ambala', full_name='Ambala, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000017B1B495A90>, type='Polygon', coordinates=[[[76.544635, 30.0705354], [77.1898735, 30.0705354], [77.1898735, 30.4357175], [76.544635, 30.4357175]]]), attributes={})",12-04-2021 03:11,TRUE,48,"Today Hashtag 
Retweet 

#DelhiPolice_TorturingFarmers https://t.co/J4Fb07q3Tb",0,FALSE,Positive
RavinderSidhu76,,Twitter for Android,,12-04-2021 03:11,FALSE,542,"Farmer Protest
#DelhiPolice_TorturingFarmers
#अरेस्ट_नरसिंघानन्द",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:11,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/4NlYWPLZqi",1,FALSE,Negative
ohi_kudi,,Twitter for iPhone,,12-04-2021 03:11,FALSE,694,Nothing less is acceptable #DelhiPolice_TorturingFarmers https://t.co/OvgybhIzPh,0,FALSE,Negative
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:11,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/zhthPR2Lex",0,FALSE,Negative
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:11,FALSE,423,"We are with Farmers #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/E3Y4O3lrHt",0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:11,FALSE,1763,Boycott BJP and RSS #DelhiPolice_TorturingFarmers #FarmersProtest,1,FALSE,Positive
ohi_kudi,,Twitter for iPhone,,12-04-2021 03:11,FALSE,694,We will always Stand for the right and fight against the wrong #DelhiPolice_TorturingFarmers https://t.co/GyZoYGO4ID,0,FALSE,Negative
CaliwaliK,,Twitter for iPhone,,12-04-2021 03:11,FALSE,73,@capt_amarinder was so quick to respond when Malot MLA incident happened.  Why is not the same importance given to… https://t.co/QfdXqn8xOP,0,FALSE,Positive
Amandeep_Gill13,ਮੇਰਾ ਸੋਹਣਾ ਦੇਸ਼ ਪੰਜਾਬ,Twitter for Android,,12-04-2021 03:11,FALSE,135,"Use Hashtag in support of farmers 
#DelhiPolice_TorturingFarmers
#DelhiPolice_TorturingFarmers",0,FALSE,Positive
Amanpre12968324,Punjab India,Twitter for Android,,12-04-2021 03:10,FALSE,1258,"Good morning to everyone 
Support farmers 
Kisan majdoor ekta jindabaad 
#DelhiPolice_TorturingFarmers 
#FarmersProtest",1,FALSE,Positive
aevi84,"Melbourne, Victoria",Twitter for iPhone,,12-04-2021 03:10,FALSE,63,Every single person in this world is #Slave of #Corporations #DelhiPolice_TorturingFarmers #FarmersProtest https://t.co/A6gv0E3DYD,0,FALSE,Negative
AdarshIndian,"PATNA,BIHAR",Twitter Web App,,12-04-2021 03:10,FALSE,199,"#DelhiPolice_TorturingFarmers
they show this👇          to hide this👇 https://t.co/OccnZIoR4S",1,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:10,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/TFDzQmuJZu",0,FALSE,Negative
farmers_stand,,Twitter for iPhone,,12-04-2021 03:10,FALSE,1763,Modi was almost at the edge of selling every sector and national asset but he made a blunder mistake by underestima… https://t.co/YbHATNzEXb,0,FALSE,Positive
Parmind42619715,"ਮੋਹਾਲੀ,ਪੰਜਾਬ",Twitter for Android,,12-04-2021 03:10,FALSE,564,"@_ManikGoyal @DelhiPolice @capt_amarinder @DGPPunjabPolice Yes tag them in maximum tweet
Dubb marro Punjab govt… https://t.co/DTCCaDWrC6",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:10,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/uzlJBiLLwk",0,FALSE,Negative
Manniepreet,,NoFoodNoFarmer,,12-04-2021 03:10,FALSE,192,"Youth farmer Ranjit Singh reveals shocking details of police torture on him
#DelhiPolice_TorturingFarmers
 The Worl… https://t.co/8BTjpyajpC",0,FALSE,Negative
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:10,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/7BLzY7vic9",0,FALSE,Negative
Jasdeep29910602,,Twitter for iPhone,,12-04-2021 03:10,FALSE,17,Our Farmers our pride. No one can Torture our Farmer’s. Strict action should be take. Against Delhi Police… https://t.co/d0819fFwNf,0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:10,FALSE,1763,"Greetings Twitter friends 🙏🏼

Another day another hashtag: 

It’s farmers vs modi who has sold his soul to greedy c… https://t.co/XlzOcPyYDY",0,FALSE,Positive
SonnyJudge1,,NoFoodNoFarmer,,12-04-2021 03:10,FALSE,561,"Hospitalised farmer alleges torture by Sathankulam cops

#DelhiPolice_TorturingFarmers
 I Support Farmers! https://t.co/1aovIpavhW",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:10,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/fDdL2CkXiA",0,FALSE,Negative
sandhulandlord1,Punjab,Twitter for iPhone,,12-04-2021 03:10,FALSE,166,"Notwithstanding anything, We will continue to fight until Farm Laws are repealed. #DelhiPolice_TorturingFarmers
#FarmersProtest",1,FALSE,Positive
admiral_Genrel,Republic of Wadiya,Twitter for Android,,12-04-2021 03:10,FALSE,1486,"#DelhiPolice_TorturingFarmers

At least this revolution showed us the real face of these so called bastard celebrit… https://t.co/UX1dKKTxJ3",2,FALSE,Negative
SukheetJataana,Canada,NoFoodNoFarmer,,12-04-2021 03:10,FALSE,494,"Delhi police is beating farmers who are protesting peacefully.
#DelhiPolice_TorturingFarmers
 Chardi Kala !! https://t.co/KgBnUHtmn0",0,FALSE,Positive
farmers_justice,,Twitter Web App,,12-04-2021 03:10,FALSE,1011,"#DelhiPolice_TorturingFarmers

Delhi Police, stop your torture and injustice towards our farmers and social activis… https://t.co/FP1ZkQhwXs",3,FALSE,Positive
RamanGrew,Canada,Twitter for iPhone,,12-04-2021 03:10,FALSE,72,"#DelhiPolice_TorturingFarmers 

The wrath of the Delhi Police",0,FALSE,Positive
navin4nation,India,Twitter for Android,,12-04-2021 03:09,FALSE,2278,@Bhupinderq33n @Tractor2twitr @gillsukhmani111 @navdeepsingh_77 @HarshKumarBhal1 @Monica_Gill1 @MahuaMoitra… https://t.co/ZoLEKIijwX,0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:09,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/aaGjJErkLW",0,FALSE,Negative
farmers_stand,,Twitter for iPhone,,12-04-2021 03:09,FALSE,1763,"Please write something with hashtag!
Without caption ht is considered as bot! #DelhiPolice_TorturingFarmers #FarmersProtest",0,FALSE,Positive
Rhythm_ia,,Twitter Web App,,12-04-2021 03:09,FALSE,85,"The Delhi Police comes directly under (Union Home Minister Amit Shah). Its behaviour, approach and attitude so far… https://t.co/QnHF2FZyYr",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:09,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/HYADPV3R6r",0,FALSE,Negative
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:09,FALSE,423,"We will not forget this we will learn from this #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/qzdofMJv9c",0,FALSE,Positive
MaanAmrit6,,Twitter for Android,,12-04-2021 03:09,FALSE,71,"Everyone needs food to survive.
Support farmers if u respect your food
#DelhiPolice_TorturingFarmers… https://t.co/ILSDPdbVeY",1,FALSE,Positive
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:08,FALSE,423,"Tractor to Twitter #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/MqTDKR10SF",0,FALSE,Positive
_Marktamang,,Twitter for Android,,12-04-2021 03:08,FALSE,1056,"#DelhiPolice_TorturingFarmers #CBSE
Students are going to cross 1M tweets on #cancelboardexam2021 but Government is… https://t.co/R96PjDCMU4",2,FALSE,Positive
Gurjeet28264447,,Twitter for Android,,12-04-2021 03:08,FALSE,28,"Hashtag for today (12/04/21):

#DelhiPolice_TorturingFarmers",0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:08,FALSE,1763,"Being silent isn't applicable everywhere, so don't take silence as maturity if it is against humanity.… https://t.co/2u2s18TQEp",1,FALSE,Positive
Manniepreet,,NoFoodNoFarmer,,12-04-2021 03:08,FALSE,192,Delhi police arresting people from Punjab that does belong to their jurisdiction. Is Punjab Govt sleeping?… https://t.co/rM61emA2EW,0,FALSE,Positive
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:08,FALSE,423,"KMP closed was successful #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/EZtQFlWNTP",0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:08,FALSE,1763,Modi was almost at the edge of selling every sector and national asset but he made a blunder mistake by underestima… https://t.co/5gBZQ9O9Ux,0,FALSE,Positive
indianproud12,India,Twitter for iPhone,,12-04-2021 03:08,FALSE,357,"This was such an amazing march. 

#DelhiPolice_TorturingFarmers #FarmersProtest https://t.co/fUoLkqryty",4,FALSE,Positive
SonnyJudge1,,NoFoodNoFarmer,,12-04-2021 03:08,FALSE,561,"Delhi police beating the farmers for peaceful protest.
#DelhiPolice_TorturingFarmers
 I Support Farmers! https://t.co/JluoyWvgpB",0,FALSE,Positive
Jasdeep29910602,,Twitter for iPhone,,12-04-2021 03:08,FALSE,17,We strongly Condemn this shameful act #DelhiPolice_TorturingFarmers,0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:08,FALSE,1763,"This is the land that cannot live without farmers. Our farmers are our strength.

Standing firm with our Farmers.… https://t.co/sIBgsq1CJb",4,FALSE,Negative
SukheetJataana,Canada,NoFoodNoFarmer,,12-04-2021 03:08,FALSE,494,"Delhi police beating and torturing farmers on behest of BJP
#DelhiPolice_TorturingFarmers
 Chardi Kala !! https://t.co/q6ENF4sUpx",1,FALSE,Positive
veekalra04,"Alwar, India",Twitter for Android,,12-04-2021 03:08,FALSE,17,"lets support and shoe them that we r with #Farmers.
So retweet and repeat wid me. #DelhiPolice_TorturingFarmers https://t.co/bQbdvPEgmA",0,FALSE,Positive
DharamvirGandhi,"Patiala,Punjab,India",Twitter for iPhone,,12-04-2021 03:08,TRUE,615,"Strongly condemn Police atrocities on cousin of Mr lakha sidhana by @DelhiPolice . Law and order issue if any,is a… https://t.co/BahrDaHK0a",3,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:08,FALSE,1763,"If the farmer is rich, so is the nation!    #DelhiPolice_TorturingFarmers #FarmersProtest",3,FALSE,Positive
Gurpal_joshan,"Shahjahanpur, India",Twitter for Android,,12-04-2021 03:08,TRUE,407,"'Shameful' &amp; 'Disgusting' act by Delhi Police!

How obnoxious can Modi govt be??

Torturing &amp; thrashing the youth i… https://t.co/cfCnjzKu2x",0,FALSE,Negative
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:07,FALSE,423,"@DelhiPolice against Indian Farmers, what a shame #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/KJo6vKtDic",0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:07,FALSE,1763,"FARMERS who feed the world, have to go through struggling era in order to ensure their rights regarding land, 
WHER… https://t.co/67VTvGXlSs",3,FALSE,Positive
MaanAmrit6,,Twitter for Android,,12-04-2021 03:07,FALSE,71,"Never give up.
Fight for the right
#DelhiPolice_TorturingFarmers",1,FALSE,Positive
dhillongulzar,,Twitter for Android,,12-04-2021 03:07,FALSE,191,"Today hashtag
12/04/2021
#DelhiPolice_TorturingFarmers https://t.co/7XjR5tr3ve",0,FALSE,Positive
